,Edition,Sport,Discipline,Athlete,Gender,Event,Medal,Country
20264,1984,Athletics,Athletics,"OTTEY-PAGE, Merlene",Women,100m,Bronze,Jamaica
20265,1984,Athletics,Athletics,"OTTEY-PAGE, Merlene",Women,200m,Bronze,Jamaica
20266,1984,Athletics,Athletics,"LAWRENCE, Albert",Men,4x100m relay,Silver,Jamaica
20267,1984,Athletics,Athletics,"MEGHOO, Gregory",Men,4x100m relay,Silver,Jamaica
20268,1984,Athletics,Athletics,"QUARRIE, Donald",Men,4x100m relay,Silver,Jamaica
20269,1984,Athletics,Athletics,"STEWART, Ray",Men,4x100m relay,Silver,Jamaica
20270,1988,Athletics,Athletics,"JACKSON SMALL, Grace",Women,200m,Silver,Jamaica
20271,1988,Athletics,Athletics,"CAMERON, Bertland",Men,4x400m relay,Silver,Jamaica
20272,1988,Athletics,Athletics,"DAVIS, Howard",Men,4x400m relay,Silver,Jamaica
20273,1988,Athletics,Athletics,"GRAHAM, Winthrop",Men,4x400m relay,Silver,Jamaica
20274,1988,Athletics,Athletics,"MORRIS, Devon",Men,4x400m relay,Silver,Jamaica
20275,1992,Athletics,Athletics,"CUTHBERT, Juliet",Women,100m,Silver,Jamaica
20276,1992,Athletics,Athletics,"OTTEY-PAGE, Merlene",Women,200m,Bronze,Jamaica
20277,1992,Athletics,Athletics,"CUTHBERT, Juliet",Women,200m,Silver,Jamaica
20278,1992,Athletics,Athletics,"GRAHAM, Winthrop",Men,400m hurdles,Silver,Jamaica
20279,1996,Athletics,Athletics,"OTTEY-PAGE, Merlene",Women,100m,Silver,Jamaica
20280,1996,Athletics,Athletics,"OTTEY-PAGE, Merlene",Women,200m,Silver,Jamaica
20281,1996,Athletics,Athletics,"HEMMINGS, Deon Marie",Women,400m hurdles,Gold,Jamaica
20282,1996,Athletics,Athletics,"CUTHBERT, Juliet",Women,4x100m relay,Bronze,Jamaica
20283,1996,Athletics,Athletics,"FREEMAN, Michele",Women,4x100m relay,Bronze,Jamaica
20284,1996,Athletics,Athletics,"LLOYD, Andrea",Women,4x100m relay,Bronze,Jamaica
20285,1996,Athletics,Athletics,"MITCHELL, Nikole",Women,4x100m relay,Bronze,Jamaica
20286,1996,Athletics,Athletics,"OTTEY-PAGE, Merlene",Women,4x100m relay,Bronze,Jamaica
20287,1996,Athletics,Athletics,"RUSSELL, Gillian Claire",Women,4x100m relay,Bronze,Jamaica
20288,1996,Athletics,Athletics,"BLAKE, Dennis Anthony",Men,4x400m relay,Bronze,Jamaica
20289,1996,Athletics,Athletics,"CLARKE, Davian",Men,4x400m relay,Bronze,Jamaica
20290,1996,Athletics,Athletics,"HAUGHTON, Greg",Men,4x400m relay,Bronze,Jamaica
20291,1996,Athletics,Athletics,"MARTIN, Roxbert",Men,4x400m relay,Bronze,Jamaica
20292,1996,Athletics,Athletics,"MCDONALD, Michael",Men,4x400m relay,Bronze,Jamaica
20293,1996,Athletics,Athletics,"ROBINSON, Garth",Men,4x400m relay,Bronze,Jamaica
20294,1996,Athletics,Athletics,"BECKFORD, James",Men,long jump,Silver,Jamaica
20295,2000,Athletics,Athletics,"OTTEY-PAGE, Merlene",Women,100m,Bronze,Jamaica
20296,2000,Athletics,Athletics,"LAWRENCE, Tanya",Women,100m,Silver,Jamaica
20297,2000,Athletics,Athletics,"MCDONALD, Beverly",Women,200m,Bronze,Jamaica
20298,2000,Athletics,Athletics,"HAUGHTON, Greg",Men,400m,Bronze,Jamaica
20299,2000,Athletics,Athletics,"GRAHAM, Lorraine",Women,400m,Silver,Jamaica
20300,2000,Athletics,Athletics,"HEMMINGS, Deon Marie",Women,400m hurdles,Silver,Jamaica
20301,2000,Athletics,Athletics,"CAMPBELL-BROWN, Veronica",Women,4x100m relay,Silver,Jamaica
20302,2000,Athletics,Athletics,"FRAZER, Merlene",Women,4x100m relay,Silver,Jamaica
20303,2000,Athletics,Athletics,"LAWRENCE, Tanya",Women,4x100m relay,Silver,Jamaica
20304,2000,Athletics,Athletics,"MCDONALD, Beverly",Women,4x100m relay,Silver,Jamaica
20305,2000,Athletics,Athletics,"OTTEY-PAGE, Merlene",Women,4x100m relay,Silver,Jamaica
20306,2000,Athletics,Athletics,"AYRE, Sanjay",Men,4x400m relay,Bronze,Jamaica
20307,2000,Athletics,Athletics,"BLACKWOOD, Michael",Men,4x400m relay,Bronze,Jamaica
20308,2000,Athletics,Athletics,"HAUGHTON, Greg",Men,4x400m relay,Bronze,Jamaica
20309,2000,Athletics,Athletics,"MCDONALD, Michael",Men,4x400m relay,Bronze,Jamaica
20310,2000,Athletics,Athletics,"MCFARLANE, Danny",Men,4x400m relay,Bronze,Jamaica
20311,2000,Athletics,Athletics,"WILLIAMS, Christopher",Men,4x400m relay,Bronze,Jamaica
20312,2000,Athletics,Athletics,"BURGHER, Michelle",Women,4x400m relay,Silver,Jamaica
20313,2000,Athletics,Athletics,"GRAHAM, Lorraine",Women,4x400m relay,Silver,Jamaica
20314,2000,Athletics,Athletics,"HEMMINGS, Deon Marie",Women,4x400m relay,Silver,Jamaica
20315,2000,Athletics,Athletics,"HOWELL, Charmaine",Women,4x400m relay,Silver,Jamaica
20316,2000,Athletics,Athletics,"RICHARDS, Sandie",Women,4x400m relay,Silver,Jamaica
20317,2000,Athletics,Athletics,"SCOTT-POMALES, Catherine",Women,4x400m relay,Silver,Jamaica
20318,2004,Athletics,Athletics,"CAMPBELL-BROWN, Veronica",Women,100m,Bronze,Jamaica
20319,2004,Athletics,Athletics,"CAMPBELL-BROWN, Veronica",Women,200m,Gold,Jamaica
20320,2004,Athletics,Athletics,"MCFARLANE, Danny",Men,400m hurdles,Silver,Jamaica
20321,2004,Athletics,Athletics,"BAILEY, Aleen",Women,4x100m relay,Gold,Jamaica
20322,2004,Athletics,Athletics,"CAMPBELL-BROWN, Veronica",Women,4x100m relay,Gold,Jamaica
20323,2004,Athletics,Athletics,"LAWRENCE, Tanya",Women,4x100m relay,Gold,Jamaica
20324,2004,Athletics,Athletics,"MCDONALD, Beverly",Women,4x100m relay,Gold,Jamaica
20325,2004,Athletics,Athletics,"SIMPSON, Sherone",Women,4x100m relay,Gold,Jamaica
20326,2004,Athletics,Athletics,"BURGHER, Michelle",Women,4x400m relay,Bronze,Jamaica
20327,2004,Athletics,Athletics,"DAVY, Nadia",Women,4x400m relay,Bronze,Jamaica
20328,2004,Athletics,Athletics,"RICHARDS, Sandie",Women,4x400m relay,Bronze,Jamaica
20329,2004,Athletics,Athletics,"SMITH, Ronetta",Women,4x400m relay,Bronze,Jamaica
20330,2004,Athletics,Athletics,"WILLIAMS, Novelene",Women,4x400m relay,Bronze,Jamaica
20331,2008,Athletics,Athletics,"BOLT, Usain",Men,100m,Gold,Jamaica
20332,2008,Athletics,Athletics,"FRASER, Shelly-ann",Women,100m,Gold,Jamaica
20333,2008,Athletics,Athletics,"SIMPSON, Sherone",Women,100m,Silver,Jamaica
20334,2008,Athletics,Athletics,"STEWART, Kerron",Women,100m,Silver,Jamaica
20335,2008,Athletics,Athletics,"BOLT, Usain",Men,200m,Gold,Jamaica
20336,2008,Athletics,Athletics,"STEWART, Kerron",Women,200m,Bronze,Jamaica
20337,2008,Athletics,Athletics,"CAMPBELL-BROWN, Veronica",Women,200m,Gold,Jamaica
20338,2008,Athletics,Athletics,"WILLIAMS, Shericka",Women,400m,Silver,Jamaica
20339,2008,Athletics,Athletics,"WALKER, Melaine",Women,400m hurdles,Gold,Jamaica
20340,2008,Athletics,Athletics,"BOLT, Usain",Men,4x100m relay,Gold,Jamaica
20341,2008,Athletics,Athletics,"CARTER, Nesta",Men,4x100m relay,Gold,Jamaica
20342,2008,Athletics,Athletics,"FRATER, Michael",Men,4x100m relay,Gold,Jamaica
20343,2008,Athletics,Athletics,"POWELL, Asafa",Men,4x100m relay,Gold,Jamaica
20344,2008,Athletics,Athletics,"LLOYD, Shereefa",Women,4x400m relay,Bronze,Jamaica
20345,2008,Athletics,Athletics,"WHYTE, Rosemarie",Women,4x400m relay,Bronze,Jamaica
20346,2008,Athletics,Athletics,"WILLIAMS, Novelene",Women,4x400m relay,Bronze,Jamaica
20347,2008,Athletics,Athletics,"WILLIAMS, Shericka",Women,4x400m relay,Bronze,Jamaica
20348,1948,Athletics,Athletics,"WHITE, Duncan",Men,400m hurdles,Silver,Sri Lanka
20349,2000,Athletics,Athletics,"JAYASINGHE, Susanthika",Women,200m,Silver,Sri Lanka
20350,1948,Boxing,Boxing,"HAN, Soo-An",Men,- 51kg (flyweight),Bronze,"Korea, South"
20351,1948,Weightlifting,Weightlifting,"KIM, Sung-Jip",Men,"67.5 - 75kg, total (middleweight)",Bronze,"Korea, South"
20352,1952,Boxing,Boxing,"KANG, Joon-Ho",Men,51 - 54kg (bantamweight),Bronze,"Korea, South"
20353,1952,Weightlifting,Weightlifting,"KIM, Sung-Jip",Men,"67.5 - 75kg, total (middleweight)",Bronze,"Korea, South"
20354,1956,Boxing,Boxing,"SONG, Soon-Chun",Men,51 - 54kg (bantamweight),Silver,"Korea, South"
20355,1956,Weightlifting,Weightlifting,"KIM, Chang-Hee",Men,"60 - 67.5kg, total (lightweight)",Bronze,"Korea, South"
20356,1964,Boxing,Boxing,"CHUNG, Shin-Cho",Men,51 - 54kg (bantamweight),Silver,"Korea, South"
20357,1964,Judo,Judo,"KIM, Eui-Tae",Men,68 - 80kg (middleweight),Bronze,"Korea, South"
20358,1964,Wrestling,Wrestling Free.,"CHANG, Chang-Sun",Men,- 52kg (flyweight),Silver,"Korea, South"
20359,1968,Boxing,Boxing,"JEE, Yong-Ju",Men,- 48kg (light-flyweight),Silver,"Korea, South"
20360,1968,Boxing,Boxing,"CHANG, Kyou-Chul",Men,51 - 54kg (bantamweight),Bronze,"Korea, South"
20361,1972,Judo,Judo,"OH, Seung-Lip",Men,70 - 80kg (middleweight),Silver,"Korea, South"
20362,1976,Judo,Judo,"CHANG, Eun-Kyung",Men,- 63kg (lightweight),Silver,"Korea, South"
20363,1976,Judo,Judo,"PARK, Young-Chul",Men,70 - 80kg (middleweight),Bronze,"Korea, South"
20364,1976,Judo,Judo,"CHO, Je-Aki",Men,open category,Bronze,"Korea, South"
20365,1976,Volleyball,Volleyball,"BAIK, Myung-Sun",Women,volleyball,Bronze,"Korea, South"
20366,1976,Volleyball,Volleyball,"BYON, Kyung-Ja",Women,volleyball,Bronze,"Korea, South"
20367,1976,Volleyball,Volleyball,"CHANG, Hee-Sook",Women,volleyball,Bronze,"Korea, South"
20368,1976,Volleyball,Volleyball,"JO, Hae-Chung",Women,volleyball,Bronze,"Korea, South"
20369,1976,Volleyball,Volleyball,"JUNG, Soon-Ok",Women,volleyball,Bronze,"Korea, South"
20370,1976,Volleyball,Volleyball,"LEE, Soon-Bok",Women,volleyball,Bronze,"Korea, South"
20371,1976,Volleyball,Volleyball,"LEE, Soon-Ok",Women,volleyball,Bronze,"Korea, South"
20372,1976,Volleyball,Volleyball,"MA, Kum-Ja",Women,volleyball,Bronze,"Korea, South"
20373,1976,Volleyball,Volleyball,"PARK, Mi-Kum",Women,volleyball,Bronze,"Korea, South"
20374,1976,Volleyball,Volleyball,"YOON, Young-Nae",Women,volleyball,Bronze,"Korea, South"
20375,1976,Volleyball,Volleyball,"YU, Jung-Hyae",Women,volleyball,Bronze,"Korea, South"
20376,1976,Volleyball,Volleyball,"YU, Kyung-Hwa",Women,volleyball,Bronze,"Korea, South"
20377,1976,Wrestling,Wrestling Free.,"JEON, Hae-Sup",Men,48 - 52kg (flyweight),Bronze,"Korea, South"
20378,1976,Wrestling,Wrestling Free.,"YANG, Jung-Mo",Men,57 - 62kg (featherweight),Gold,"Korea, South"
20379,1984,Archery,Archery,"KIM, Jin-Ho",Women,individual FITA round,Bronze,"Korea, South"
20380,1984,Archery,Archery,"SEO, Hyang-Soon",Women,individual FITA round,Gold,"Korea, South"
20381,1984,Basketball,Basketball,"CHOI, Aei-Young",Women,basketball,Silver,"Korea, South"
20382,1984,Basketball,Basketball,"CHOI, Kyung-Hee",Women,basketball,Silver,"Korea, South"
20383,1984,Basketball,Basketball,"JEONG, Myung-Hee",Women,basketball,Silver,"Korea, South"
20384,1984,Basketball,Basketball,"KIM, Eun-Sook",Women,basketball,Silver,"Korea, South"
20385,1984,Basketball,Basketball,"KIM, Hwa-Soon",Women,basketball,Silver,"Korea, South"
20386,1984,Basketball,Basketball,"KIM, Young-Hee",Women,basketball,Silver,"Korea, South"
20387,1984,Basketball,Basketball,"LEE, Hyung-Sook",Women,basketball,Silver,"Korea, South"
20388,1984,Basketball,Basketball,"LEE, Mi-Ja",Women,basketball,Silver,"Korea, South"
20389,1984,Basketball,Basketball,"MOON, Kyung-Ja",Women,basketball,Silver,"Korea, South"
20390,1984,Basketball,Basketball,"PARK, Chan-Sook",Women,basketball,Silver,"Korea, South"
20391,1984,Basketball,Basketball,"PARK, Yang-Gae",Women,basketball,Silver,"Korea, South"
20392,1984,Basketball,Basketball,"SUNG, Jung-A",Women,basketball,Silver,"Korea, South"
20393,1984,Boxing,Boxing,"CHUN, Chil-Sung",Men,57 - 60kg (lightweight),Bronze,"Korea, South"
20394,1984,Boxing,Boxing,"AN, Young-Su",Men,63.5 - 67kg (welterweight),Silver,"Korea, South"
20395,1984,Boxing,Boxing,"SHIN, Joon-Sup",Men,71-75kg,Gold,"Korea, South"
20396,1984,Handball,Handball,"HAN, Hwa-Soo",Women,handball,Silver,"Korea, South"
20397,1984,Handball,Handball,"JEONG, Hyoi-Soon",Women,handball,Silver,"Korea, South"
20398,1984,Handball,Handball,"JEONG, Soon-Bok",Women,handball,Silver,"Korea, South"
20399,1984,Handball,Handball,"KIM, Choon-Rye",Women,handball,Silver,"Korea, South"
20400,1984,Handball,Handball,"KIM, Kyung-Soon",Women,handball,Silver,"Korea, South"
20401,1984,Handball,Handball,"KIM, Mi-Sook",Women,handball,Silver,"Korea, South"
20402,1984,Handball,Handball,"KIM, Ok-Hwa",Women,handball,Silver,"Korea, South"
20403,1984,Handball,Handball,"LEE, Soon-Ei",Women,handball,Silver,"Korea, South"
20404,1984,Handball,Handball,"LEE, Young-Ja",Women,handball,Silver,"Korea, South"
20405,1984,Handball,Handball,"SON, Mi-Ha",Women,handball,Silver,"Korea, South"
20406,1984,Handball,Handball,"SUNG, Kyung-Hwa",Women,handball,Silver,"Korea, South"
20407,1984,Handball,Handball,"YOON, Byung-Soon",Women,handball,Silver,"Korea, South"
20408,1984,Handball,Handball,"YOON, Soo-Kyung",Women,handball,Silver,"Korea, South"
20409,1984,Judo,Judo,"KIM, Jae-Yup",Men,- 60 kg,Silver,"Korea, South"
20410,1984,Judo,Judo,"CHO, Yong-Chul",Men,+ 95kg (heavyweight),Bronze,"Korea, South"
20411,1984,Judo,Judo,"HWANG, Jun-Oh",Men,60 - 65kg (half-lightweight),Silver,"Korea, South"
20412,1984,Judo,Judo,"AHN, Byung-Keun",Men,65 - 71kg (lightweight),Gold,"Korea, South"
20413,1984,Judo,Judo,"HA, Hyung-Zoo",Men,86 - 95kg (half-heavyweight),Gold,"Korea, South"
20414,1984,Wrestling,Wrestling Free.,"SON, Gab-Do",Men,- 48kg (light-flyweight),Bronze,"Korea, South"
20415,1984,Wrestling,Wrestling Free.,"KIM, Jong-Kyu",Men,48 - 52kg (flyweight),Silver,"Korea, South"
20416,1984,Wrestling,Wrestling Free.,"KIM, Eui-Kon",Men,52 - 57kg (bantamweight),Bronze,"Korea, South"
20417,1984,Wrestling,Wrestling Free.,"LEE, Jung-Keun",Men,57 - 62kg (featherweight),Bronze,"Korea, South"
20418,1984,Wrestling,Wrestling Free.,"YOU, In-Tak",Men,62 - 68kg (lightweight),Gold,"Korea, South"
20419,1984,Wrestling,Wrestling Gre-R,"BANG, Dae-Du",Men,48 - 52kg (flyweight),Bronze,"Korea, South"
20420,1984,Wrestling,Wrestling Gre-R,"KIM, Weon-Kee",Men,57 - 62kg (featherweight),Gold,"Korea, South"
20421,1988,Archery,Archery,"PARK, Sung-Soo",Men,individual FITA round,Silver,"Korea, South"
20422,1988,Archery,Archery,"YUN, Young-Sook",Women,individual FITA round,Bronze,"Korea, South"
20423,1988,Archery,Archery,"KIM, Soo-Nyung",Women,individual FITA round,Gold,"Korea, South"
20424,1988,Archery,Archery,"WANG, Hee-Kyung",Women,individual FITA round,Silver,"Korea, South"
20425,1988,Archery,Archery,"CHUN, In-Soo",Men,teams FITA round,Gold,"Korea, South"
20426,1988,Archery,Archery,"LEE, Han-Sup",Men,teams FITA round,Gold,"Korea, South"
20427,1988,Archery,Archery,"PARK, Sung-Soo",Men,teams FITA round,Gold,"Korea, South"
20428,1988,Archery,Archery,"KIM, Soo-Nyung",Women,teams FITA round,Gold,"Korea, South"
20429,1988,Archery,Archery,"WANG, Hee-Kyung",Women,teams FITA round,Gold,"Korea, South"
20430,1988,Archery,Archery,"YUN, Young-Sook",Women,teams FITA round,Gold,"Korea, South"
20431,1988,Boxing,Boxing,"KIM, Kwang-Sun",Men,48 - 51kg (flyweight),Gold,"Korea, South"
20432,1988,Boxing,Boxing,"LEE, Jae-Hyuk",Men,54 - 57kg (featherweight),Bronze,"Korea, South"
20433,1988,Boxing,Boxing,"PARK, Si-Hun",Men,67 - 71kg (light-middleweight),Gold,"Korea, South"
20434,1988,Boxing,Boxing,"BAIK, Hyun-Man",Men,81 - 91kg (heavyweight),Silver,"Korea, South"
20435,1988,Gymnastics,Artistic G.,"PARK, Jong-Hoon",Men,vault,Bronze,"Korea, South"
20436,1988,Handball,Handball,"CHOI, Suk-Jae",Men,handball,Silver,"Korea, South"
20437,1988,Handball,Handball,"KANG, Jae-Won",Men,handball,Silver,"Korea, South"
20438,1988,Handball,Handball,"KIM, Jae-Hwan",Men,handball,Silver,"Korea, South"
20439,1988,Handball,Handball,"KOH, Suk-Chang",Men,handball,Silver,"Korea, South"
20440,1988,Handball,Handball,"LEE, Sang-Hyo",Men,handball,Silver,"Korea, South"
20441,1988,Handball,Handball,"LIM, Jin-Suk",Men,handball,Silver,"Korea, South"
20442,1988,Handball,Handball,"OH, Young-Ki",Men,handball,Silver,"Korea, South"
20443,1988,Handball,Handball,"PARK, Do-Hun",Men,handball,Silver,"Korea, South"
20444,1988,Handball,Handball,"PARK, Young-Dae",Men,handball,Silver,"Korea, South"
20445,1988,Handball,Handball,"ROH, Hyun-Suk",Men,handball,Silver,"Korea, South"
20446,1988,Handball,Handball,"SHIM, Jae-Hong",Men,handball,Silver,"Korea, South"
20447,1988,Handball,Handball,"SHIN, Yung-Suk",Men,handball,Silver,"Korea, South"
20448,1988,Handball,Handball,"YOON, Tae-Il",Men,handball,Silver,"Korea, South"
20449,1988,Handball,Handball,"HAN, Hyun-Sook",Women,handball,Gold,"Korea, South"
20450,1988,Handball,Handball,"KIM, Choon-Rye",Women,handball,Gold,"Korea, South"
20451,1988,Handball,Handball,"KIM, Hyun-Mee",Women,handball,Gold,"Korea, South"
20452,1988,Handball,Handball,"KIM, Kyung-Soon",Women,handball,Gold,"Korea, South"
20453,1988,Handball,Handball,"KIM, Mi-Sook",Women,handball,Gold,"Korea, South"
20454,1988,Handball,Handball,"KIM, Myung-Soon",Women,handball,Gold,"Korea, South"
20455,1988,Handball,Handball,"LEE, Ki-Soon",Women,handball,Gold,"Korea, South"
20456,1988,Handball,Handball,"LIM, Mi-Kyung",Women,handball,Gold,"Korea, South"
20457,1988,Handball,Handball,"SON, Mi-Ha",Women,handball,Gold,"Korea, South"
20458,1988,Handball,Handball,"SONG, Ji-Hyun",Women,handball,Gold,"Korea, South"
20459,1988,Handball,Handball,"SUK, Min-Hee",Women,handball,Gold,"Korea, South"
20460,1988,Handball,Handball,"SUNG, Kyung-Hwa",Women,handball,Gold,"Korea, South"
20461,1988,Hockey,Hockey,"CHANG, Eun-Jung",Women,hockey,Silver,"Korea, South"
20462,1988,Hockey,Hockey,"CHO, Ki-Hyang",Women,hockey,Silver,"Korea, South"
20463,1988,Hockey,Hockey,"CHOI, Choon-Ok",Women,hockey,Silver,"Korea, South"
20464,1988,Hockey,Hockey,"CHUNG, Eun-Kyung",Women,hockey,Silver,"Korea, South"
20465,1988,Hockey,Hockey,"CHUNG, Sang-Hyun",Women,hockey,Silver,"Korea, South"
20466,1988,Hockey,Hockey,"HAN, Gum Shil",Women,hockey,Silver,"Korea, South"
20467,1988,Hockey,Hockey,"HAN, Ok-Kyung",Women,hockey,Silver,"Korea, South"
20468,1988,Hockey,Hockey,"HWANG, Keum-Sook",Women,hockey,Silver,"Korea, South"
20469,1988,Hockey,Hockey,"JIN, Won-Sim",Women,hockey,Silver,"Korea, South"
20470,1988,Hockey,Hockey,"KIM, Mi-Sun",Women,hockey,Silver,"Korea, South"
20471,1988,Hockey,Hockey,"KIM, Soon-Duk",Women,hockey,Silver,"Korea, South"
20472,1988,Hockey,Hockey,"KIM, Young-Sook",Women,hockey,Silver,"Korea, South"
20473,1988,Hockey,Hockey,"LIM, Kye-Sook",Women,hockey,Silver,"Korea, South"
20474,1988,Hockey,Hockey,"PARK, Soon-Ja",Women,hockey,Silver,"Korea, South"
20475,1988,Hockey,Hockey,"SEO, Hyo-Sun",Women,hockey,Silver,"Korea, South"
20476,1988,Hockey,Hockey,"SEO, Kwang-Mi",Women,hockey,Silver,"Korea, South"
20477,1988,Judo,Judo,"KIM, Jae-Yup",Men,- 60 kg,Gold,"Korea, South"
20478,1988,Judo,Judo,"CHO, Yong-Chul",Men,+ 95kg (heavyweight),Bronze,"Korea, South"
20479,1988,Judo,Judo,"LEE, Kyung-Keun",Men,60 - 65kg (half-lightweight),Gold,"Korea, South"
20480,1988,Shooting,Shooting,"CHA, Young-Chul",Men,50m rifle prone (60 shots),Silver,"Korea, South"
20481,1988,Table Tennis,Table Tennis,"AN, Jae Hyung",Men,doubles,Bronze,"Korea, South"
20482,1988,Table Tennis,Table Tennis,"YOO, Nam-Kyu",Men,doubles,Bronze,"Korea, South"
20483,1988,Table Tennis,Table Tennis,"HYUN, Jung Hwa",Women,doubles,Gold,"Korea, South"
20484,1988,Table Tennis,Table Tennis,"YANG, Young-Ja",Women,doubles,Gold,"Korea, South"
20485,1988,Table Tennis,Table Tennis,"YOO, Nam-Kyu",Men,singles,Gold,"Korea, South"
20486,1988,Table Tennis,Table Tennis,"KIM, Ki Taik",Men,singles,Silver,"Korea, South"
20487,1988,Weightlifting,Weightlifting,"CHUN, Byung-Kwan",Men,"- 52kg, total (flyweight)",Silver,"Korea, South"
20488,1988,Weightlifting,Weightlifting,"LEE, Kyung-Kun",Men,"75 - 82.5kg, total (light-heavyweight)",Bronze,"Korea, South"
20489,1988,Wrestling,Wrestling Free.,"NOH, Kyung-Sun",Men,52 - 57kg (bantamweight),Bronze,"Korea, South"
20490,1988,Wrestling,Wrestling Free.,"PARK, Jang-Soon",Men,62 - 68kg (lightweight),Silver,"Korea, South"
20491,1988,Wrestling,Wrestling Free.,"HAN, Myung-Woo",Men,74 - 82kg (middleweight),Gold,"Korea, South"
20492,1988,Wrestling,Wrestling Free.,"KIM, Tae-Woo",Men,82 - 90kg (light-heavyweight),Bronze,"Korea, South"
20493,1988,Wrestling,Wrestling Gre-R,"LEE, Jae-Suk",Men,48 - 52kg (flyweight),Bronze,"Korea, South"
20494,1988,Wrestling,Wrestling Gre-R,"AN, Dae-Hyun",Men,57 - 62kg (featherweight),Bronze,"Korea, South"
20495,1988,Wrestling,Wrestling Gre-R,"KIM, Sung-Moon",Men,62 - 68kg (lightweight),Silver,"Korea, South"
20496,1988,Wrestling,Wrestling Gre-R,"KIM, Young-Nam",Men,68 - 74kg (welterweight),Gold,"Korea, South"
20497,1988,Wrestling,Wrestling Gre-R,"KIM, Sang-Kyu",Men,74 - 82kg (middleweight),Bronze,"Korea, South"
20498,1992,Archery,Archery,"CHUNG, Jae-Hun",Men,individual (FITA Olympic round - 70m),Silver,"Korea, South"
20499,1992,Archery,Archery,"CHO, Youn-Jeong",Women,individual (FITA Olympic round - 70m),Gold,"Korea, South"
20500,1992,Archery,Archery,"KIM, Soo-Nyung",Women,individual (FITA Olympic round - 70m),Silver,"Korea, South"
20501,1992,Archery,Archery,"CHO, Youn-Jeong",Women,team (FITA Olympic round - 70m),Gold,"Korea, South"
20502,1992,Archery,Archery,"KIM, Soo-Nyung",Women,team (FITA Olympic round - 70m),Gold,"Korea, South"
20503,1992,Archery,Archery,"LEE, Eun Kyung",Women,team (FITA Olympic round - 70m),Gold,"Korea, South"
20504,1992,Athletics,Athletics,"HWANG, Young-Cho",Men,marathon,Gold,"Korea, South"
20505,1992,Badminton,Badminton,"KIM, Moon-Soo",Men,doubles,Gold,"Korea, South"
20506,1992,Badminton,Badminton,"PARK, Joo-Bong",Men,doubles,Gold,"Korea, South"
20507,1992,Badminton,Badminton,"GIL, Young-Ah",Women,doubles,Bronze,"Korea, South"
20508,1992,Badminton,Badminton,"SHIM, Eun-Jung",Women,doubles,Bronze,"Korea, South"
20509,1992,Badminton,Badminton,"CHUNG, So-Young",Women,doubles,Gold,"Korea, South"
20510,1992,Badminton,Badminton,"HWANG, Hae-Young",Women,doubles,Gold,"Korea, South"
20511,1992,Badminton,Badminton,"BANG, Soo-Hyun",Women,singles,Silver,"Korea, South"
20512,1992,Boxing,Boxing,"HONG, Sung Sik",Men,57 - 60kg (lightweight),Bronze,"Korea, South"
20513,1992,Boxing,Boxing,"LEE, Seung Bae",Men,71-75kg,Bronze,"Korea, South"
20514,1992,Gymnastics,Artistic G.,"YOO, Ok Ryul",Men,vault,Bronze,"Korea, South"
20515,1992,Handball,Handball,"CHA, Jae-Kyung",Women,handball,Gold,"Korea, South"
20516,1992,Handball,Handball,"HONG, Jeong-Ho",Women,handball,Gold,"Korea, South"
20517,1992,Handball,Handball,"JANG, Ri-Ra",Women,handball,Gold,"Korea, South"
20518,1992,Handball,Handball,"KIM, Hwa-Sook",Women,handball,Gold,"Korea, South"
20519,1992,Handball,Handball,"LEE, Ho-Youn",Women,handball,Gold,"Korea, South"
20520,1992,Handball,Handball,"LEE, Mi-Young",Women,handball,Gold,"Korea, South"
20521,1992,Handball,Handball,"LIM, O Kyeong",Women,handball,Gold,"Korea, South"
20522,1992,Handball,Handball,"MIN, Hye-Sook",Women,handball,Gold,"Korea, South"
20523,1992,Handball,Handball,"MOON, Hyang-Ja",Women,handball,Gold,"Korea, South"
20524,1992,Handball,Handball,"NAM, Eun-Young",Women,handball,Gold,"Korea, South"
20525,1992,Handball,Handball,"OH, Seongok",Women,handball,Gold,"Korea, South"
20526,1992,Handball,Handball,"PARK, Jeong-Lim",Women,handball,Gold,"Korea, South"
20527,1992,Handball,Handball,"PARK, Kap-Sook",Women,handball,Gold,"Korea, South"
20528,1992,Judo,Judo,"YOON, Hyun",Men,- 60 kg,Silver,"Korea, South"
20529,1992,Judo,Judo,"CHUNG, Hoon",Men,65 - 71kg (lightweight),Bronze,"Korea, South"
20530,1992,Judo,Judo,"KIM, Mi-Jung",Women,66 - 72kg (half-heavyweight),Gold,"Korea, South"
20531,1992,Judo,Judo,"KIM, Byung Joo",Men,71 - 78kg (half-middleweight),Bronze,"Korea, South"
20532,1992,Shooting,Shooting,"YEO, Kab-Soon",Women,10m air rifle (40 shots),Gold,"Korea, South"
20533,1992,Shooting,Shooting,"LEE, Eun-Chul",Men,50m rifle prone (60 shots),Gold,"Korea, South"
20534,1992,Table Tennis,Table Tennis,"KANG, Hee Chan",Men,doubles,Bronze,"Korea, South"
20535,1992,Table Tennis,Table Tennis,"KIM, Taek Soo",Men,doubles,Bronze,"Korea, South"
20536,1992,Table Tennis,Table Tennis,"LEE, Chul Seung",Men,doubles,Bronze,"Korea, South"
20537,1992,Table Tennis,Table Tennis,"YOO, Nam-Kyu",Men,doubles,Bronze,"Korea, South"
